"1.0","STATE","STATE ABBREVIATION","DISTRICT","FEC ID#","INCUMBENT INDICATOR (I)","CANDIDATE NAME (First)","CANDIDATE NAME (Last)","CANDIDATE NAME (Last, First)","TOTAL VOTES","PARTY","PRIMARY","PRIMARY %","RUNOFF","RUNOFF %","GENERAL ","GENERAL %","COMBINED GE PARTY TOTALS (CT, NY, SC)","COMBINED % (CT, NY, SC)","FOOTNOTES",""
"87.0","Alaska","AK","S","n/a","","","","","Party Votes:","DEM","30287.0","","","","","","","","",""
"88.0","Alaska","AK","S","S4AK00099","","","Murkowski","Murkowski","","W (Challenged Counted)","","","","","8160.0","0.03168464459613727","","","",""
"89.0","Alaska","AK","S","","","","Murkowski","Murkowski","","W (Challenged NOT Counted)","","","","","2035.0","0.007901746538374919","","","",""
"90.0","Alaska","AK","S","S8AK00165","","Fredrick ""David""","Haase","Haase, Fredrick ""David""","","LIB","5793.0","1.0","","","1459.0","0.005665183390412288","","","",""
"91.0","Alaska","AK","S","n/a","","","","","Party Votes:","LIB","5793.0","","","","","","","","",""
"92.0","Alaska","AK","S","S0AK00154","","Tim","Carter","Carter, Tim","","NAF","","","","","927.0","0.003599468816252359","","","",""
"93.0","Alaska","AK","S","n/a","","","Other - Misc. Names","Other - Misc. Names","","W","","","","","602.0","0.0023375191233914994","","","",""
"94.0","Alaska","AK","S","S4AK00115","","Ted","Gianoutsos","Gianoutsos, Ted","","NAF","","","","","458.0","0.0017783783364008418","","","",""
"95.0","Alaska","AK","S","S0AK00121","","Joe","Miller","Miller, Joe","","W","","","","","21.0","8.154136476947092e-05","","","",""
"96.0","Alaska","AK","S","S0AK00162","","Sid","Hill","Hill, Sid","","W","","","","","13.0","5.0477987714434376e-05","","","",""
"97.0","Alaska","AK","S","n/a","","","McAdams","McAdams","","W","","","","","8.0","3.106337705503654e-05","","","",""
"98.0","Alaska","AK","S","n/a","","Edward D.","Marin Jr.","Marin Jr., Edward D.","","W","","","","","6.0","2.3297532791277403e-05","","","",""
"99.0","Alaska","AK","S","n/a","","Red K.","Bradley","Bradley, Red K.","","W","","","","","3.0","1.1648766395638701e-05","","","",""
"100.0","Alaska","AK","S","n/a","","Guy A.","Cummins","Cummins, Guy A.","","W","","","","","2.0","7.765844263759134e-06","","","",""
"101.0","Alaska","AK","S","n/a","","Lisa M.","Lackey","Lackey, Lisa M.","","W","","","","","2.0","7.765844263759134e-06","","","",""
"102.0","Alaska","AK","S","n/a","","Richard","McGahan","McGahan, Richard","","W","","","","","2.0","7.765844263759134e-06","","","",""
"103.0","Alaska","AK","S","n/a","","Marvin Roger","Moser","Moser, Marvin Roger","","W","","","","","2.0","7.765844263759134e-06","","","",""
"104.0","Alaska","AK","S","n/a","","Karen","Perry","Perry, Karen","","W","","","","","2.0","7.765844263759134e-06","","","",""
"105.0","Alaska","AK","S","n/a","","Eileen M.","Ransom","Ransom, Eileen M.","","W","","","","","2.0","7.765844263759134e-06","","","",""
"106.0","Alaska","AK","S","n/a","","Jed","Whittaker","Whittaker, Jed","","W","","","","","2.0","7.765844263759134e-06","","","",""
"107.0","Alaska","AK","S","n/a","","Michael","Ames","Ames, Michael","","W","","","","","1.0","3.882922131879567e-06","","","",""
"108.0","Alaska","AK","S","n/a","","Kevin","Austin","Austin, Kevin","","W","","","","","1.0","3.913848369686462e-06","","","",""
"109.0","Alaska","AK","S","n/a","","David E.","Beeman","Beeman, David E.","","W","","","","","1.0","3.913848369686462e-06","","","",""
"110.0","Alaska","AK","S","n/a","","Vicky L.","Beeman","Beeman, Vicky L.","","W","","","","","1.0","3.913848369686462e-06","","","",""
"111.0","Alaska","AK","S","n/a","","David","Boyle","Boyle, David","","W","","","","","1.0","3.913848369686462e-06","","","",""
"112.0","Alaska","AK","S","n/a","","Michael","Butler","Butler, Michael","","W","","","","","1.0","3.913848369686462e-06","","","",""
"113.0","Alaska","AK","S","n/a","","Margaret A.","Crowell","Crowell, Margaret A.","","W","","","","","1.0","3.913848369686462e-06","","","",""
"114.0","Alaska","AK","S","n/a","","Chris S.","Dillingham","Dillingham, Chris S.","","W","","","","","1.0","3.913848369686462e-06","","","",""
"115.0","Alaska","AK","S","n/a","","David S.","George","George, David S.","","W","","","","","1.0","3.913848369686462e-06","","","",""
"116.0","Alaska","AK","S","n/a","","Alan D.","Humphries","Humphries, Alan D.","","W","","","","","1.0","3.913848369686462e-06","","","",""
"117.0","Alaska","AK","S","n/a","","Petter M.","Johnson","Johnson, Petter M.","","W","","","","","1.0","3.913848369686462e-06","","","",""
"118.0","Alaska","AK","S","n/a","","Eric C.","Kelly","Kelly, Eric C.","","W","","","","","1.0","3.913848369686462e-06","","","",""
"119.0","Alaska","AK","S","n/a","","Bill","Klemme","Klemme, Bill","","W","","","","","1.0","3.913848369686462e-06","","","",""
"120.0","Alaska","AK","S","n/a","","Marjori","Landis-Beck","Landis-Beck, Marjori","","W","","","","","1.0","3.913848369686462e-06","","","",""
"121.0","Alaska","AK","S","n/a","","Anthony","Rice","Rice, Anthony","","W","","","","","1.0","3.913848369686462e-06","","","",""
"122.0","Alaska","AK","S","n/a","","Thompson","Steve","Steve, Thompson","","W","","","","","1.0","3.913848369686462e-06","","","",""
"123.0","Alaska","AK","S","n/a","","Georgia Lee","Tolbert","Tolbert, Georgia Lee","","W","","","","","1.0","3.913848369686462e-06","","","",""
"124.0","Alaska","AK","S","n/a","","","","","Total State Votes:","","145830.0","","","","257538.0","","","","",""
"125.0","","","","n/a","","","","","","","","","","","","","","","",""
"126.0","American Samoa","AS","00","H0AS00018","(I)","Eni F.H.","Faleomavaega","Faleomavaega, Eni F.H.","","DEM","","","","","6182.0","0.564051094890511","","","",""
"127.0","American Samoa","AS","00","H4AS00036","","Aumua","Amata","Amata, Aumua","","REP","","","","","4422.0","0.40346715328467153","","","",""
"128.0","American Samoa","AS","00","H2AS00030","","Tuika","Tuika","Tuika, Tuika","","NNE","","","","","356.0","0.032481751824817516","","","",""
"129.0","American Samoa","AS","H","n/a","","","","","District Votes:","","","","","","10960.0","","","","",""
"130.0","American Samoa","AS","H","n/a","","","","","Total Votes:","","","","","","10960.0","","","","",""
"131.0","","","","n/a","","","","","","","","","","","","","","","",""
"132.0","Arizona","AZ","01","H0AZ01259","","Paul","Gosar","Gosar, Paul","","REP","21941.0","0.3073227442081968","","","112816.0","0.49716637728166124","","","",""
"133.0","Arizona","AZ","01","H2AZ01149","","Sydney","Hay","Hay, Sydney","","REP","16328.0","0.22870269210297783","","","","","","","",""
"134.0","Arizona","AZ","01","H0AZ01267","","Bradley","Beauchamp","Beauchamp, Bradley","","REP","11356.0","0.15906098551699022","","","","","","","",""
"135.0","Arizona","AZ","01","H0AZ01275","","Russell ""Rusty""","Bowers","Bowers, Russell ""Rusty""","","REP","10552.0","0.14779953497492787","","","","","","","",""
"136.0","Arizona","AZ","01","H0AZ01283","","Steve","Mehta","Mehta, Steve","","REP","5846.0","0.08188363167773202","","","","","","","",""
"137.0","Arizona","AZ","01","H0AZ01309","","Thomas J.","Zaleski","Zaleski, Thomas J.","","REP","2105.0","0.029484270386867243","","","","","","","",""
"138.0","Arizona","AZ","01","H0AZ01317","","Jon","Jensen","Jensen, Jon","","REP","1736.0","0.024315768832114743","","","","","","","",""
"139.0","Arizona","AZ","01","H0AZ01291","","Joe","Jaraczewski","Jaraczewski, Joe","","REP","1530.0","0.021430372300193293","","","","","","","",""
"140.0","Arizona","AZ","01","n/a","","","","","Party Votes:","REP","71394.0","","","","","","","","",""
"141.0","Arizona","AZ","01","H8AZ01104","(I)","Ann","Kirkpatrick","Kirkpatrick, Ann","","DEM","46902.0","1.0","","","99233.0","0.4373077499361003","","","",""
"142.0","Arizona","AZ","01","n/a","","","","","Party Votes:","DEM","46902.0","","","","","","","","",""
"143.0","Arizona","AZ","01","H0AZ01341","","Nicole","Patti","Patti, Nicole","","W(LIB)/LIB","23.0","1.0","","","14869.0","0.06552587278223852","","","",""
"144.0","Arizona","AZ","01","n/a","","","","","Party Votes:","LIB","23.0","","","","","","","","",""
"145.0","Arizona","AZ","01","n/a","","","","","District Votes:","","118319.0","","","","226918.0","","","","",""
"146.0","Arizona","AZ","","n/a","","","","","","","","","","","","","","","",""
"147.0","Arizona","AZ","02","H4AZ04024","(I)","Trent","Franks","Franks, Trent","","REP","81252.0","0.8087029222071821","","","173173.0","0.6488456091182268","","","",""
"148.0","Arizona","AZ","02","H0AZ02141","","Charles","Black","Black, Charles","","REP","19220.0","0.1912970777928179","","","","","","","",""
"149.0","Arizona","AZ","02","n/a","","","","","Party Votes:","REP","100472.0","","","","","","","","",""
"150.0","Arizona","AZ","02","H6AZ02155","","John","Thrasher","Thrasher, John","","DEM","32503.0","1.0","","","82891.0","0.3105764835477755","","","",""
"151.0","Arizona","AZ","02","n/a","","","","","Party Votes:","DEM","32503.0","","","","","","","","",""
"152.0","Arizona","AZ","02","H4AZ02119","","Powell","Gammill","Gammill, Powell","","LIB","318.0","1.0","","","10820.0","0.04054043927551762","","","",""
"153.0","Arizona","AZ","02","n/a","","","","","Party Votes:","LIB","318.0","","","","","","","","",""
"154.0","Arizona","AZ","02","H6AZ00027","","Crum ","William","William, Crum ","","W","","","","","8.0","2.997444678411654e-05","","","",""
"155.0","Arizona","AZ","02","n/a","","Mark","Rankin","Rankin, Mark","","W","","","","","2.0","7.493611696029135e-06","","","",""
"156.0","Arizona","AZ","02","n/a","","","","","District Votes:","","133293.0","","","","266894.0","","","","",""
"157.0","Arizona","AZ","","n/a","","","","","","","","","","","","","","","",""
"158.0","Arizona","AZ","03","H0AZ03362","","Ben","Quayle","Quayle, Ben","","REP","17400.0","0.22051275552232374","","","108689.0","0.5223649619601002","","","",""
"159.0","Arizona","AZ","03","H0AZ03396","","Steve","Moak","Moak, Steve","","REP","14211.0","0.18009809015676684","","","","","","","",""
"160.0","Arizona","AZ","03","H0AZ03313","","Jim","Waring","Waring, Jim","","REP","13850.0","0.17552308413702206","","","","","","","",""
"161.0","Arizona","AZ","03","H0AZ03321","","Vernon B.","Parker","Parker, Vernon B.","","REP","13411.0","0.16995957266148756","","","","","","","",""
"162.0","Arizona","AZ","03","H0AZ03339","","Pamela","Gorman","Gorman, Pamela","","REP","6473.0","0.08203327968367825","","","","","","","",""
"163.0","Arizona","AZ","03","H0AZ03354","","Paulina","Morris","Morris, Paulina","","REP","6138.0","0.07778777548253006","","","","","","","",""
"164.0","Arizona","AZ","03","H0AZ03347","","Sam","Crump","Crump, Sam","","REP","3886.0","0.04924784873331897","","","","","","","",""
"165.0","Arizona","AZ","03","H8AZ03126","","Ed","Winkler","Winkler, Ed","","REP","1353.0","0.017146767713891037","","","","","","","",""
"166.0","Arizona","AZ","03","H0AZ03388","","Bob","Branch","Branch, Bob","","REP","1141.0","0.014460060577642033","","","","","","","",""
"167.0","Arizona","AZ","03","H0AZ03370","","Leann","Hull","Hull, Leann","","REP","1044.0","0.013230765331339425","","","","","","","",""
"168.0","Arizona","AZ","03","n/a","","","","","Party Votes:","REP","78907.0","","","","","","","","",""
"169.0","Arizona","AZ","03","H0AZ03305","","Jon","Hulburd","Hulburd, Jon","","DEM","27388.0","1.0","","","85610.0","0.4114460929202051","","","",""
"170.0","Arizona","AZ","03","n/a","","","","","Party Votes:","DEM","27388.0","","","","","","","","",""
"171.0","Arizona","AZ","03","H8AZ03134","","Michael","Shoen","Shoen, Michael","","LIB","392.0","0.9974554707379135","","","10478.0","0.05035781055505092","","","",""
"172.0","Arizona","AZ","03","H0AZ03446 ","","Clay","Adair","Adair, Clay","","W(LIB)","1.0","0.002544529262086514","","","","","","","",""
"173.0","Arizona","AZ","03","n/a","","","","","Party Votes:","LIB","393.0","","","","","","","","",""
"174.0","Arizona","AZ","03","H0AZ03438","","Leonard ","Clark","Clark, Leonard ","","W(GRE)/GRE","5.0","1.0","","","3294.0","0.0158311345646438","","","",""
"175.0","Arizona","AZ","03","n/a","","","","","Party Votes:","GRE","5.0","","","","","","","","",""
"176.0","Arizona","AZ","03","n/a","","","","","District Votes:","","106693.0","","","","208071.0","","","","",""
"177.0","Arizona","AZ","","n/a","","","","","","","","","","","","","","","",""
"178.0","Arizona","AZ","04","H2AZ02055","(I)","Ed","Pastor","Pastor, Ed","","DEM","24613.0","1.0","","","61524.0","0.6694158225162392","","","",""
"179.0","Arizona","AZ","04","n/a","","","","","Party Votes:","DEM","24613.0","","","","","","","","",""
"180.0","Arizona","AZ","04","H0AZ04493","","Janet","Contreras","Contreras, Janet","","REP","8085.0","0.6009811937857726","","","25300.0","0.2752782704255389","","","",""
"181.0","Arizona","AZ","04","H0AZ04501","","Joe","Penalosa","Penalosa, Joe","","REP","5368.0","0.3990188062142273","","","","","","","",""
"182.0","Arizona","AZ","04","n/a","","","","","Party Votes:","REP","13453.0","","","","","","","","",""
"183.0","Arizona","AZ","04","H8AZ04124","","Joe","Cobb","Cobb, Joe","","LIB","219.0","1.0","","","2718.0","0.02957337308366066","","","",""
"184.0","Arizona","AZ","04","n/a","","","","","Party Votes:","LIB","219.0","","","","","","","","",""
"185.0","Arizona","AZ","04","H8AZ04116","","Rebecca","Dewitt","Dewitt, Rebecca","","GRE","148.0","1.0","","","2365.0","0.025732533974561243","","","",""
"186.0","Arizona","AZ","04","n/a","","","","","Party Votes:","GRE","148.0","","","","","","","","",""
"187.0","Arizona","AZ","04","n/a","","","","","District Votes:","","38433.0","","","","91907.0","","","","",""
"188.0","Arizona","AZ","","n/a","","","","","","","","","","","","","","","",""
"189.0","Arizona","AZ","05","H4AZ06045","","David","Schweikert","Schweikert, David","","REP","26678.0","0.3723273600178641","","","110374.0","0.5200188457008245","","","",""
"190.0","Arizona","AZ","05","H0AZ05078","","Jim","Ward","Ward, Jim","","REP","18480.0","0.25791324736225085","","","","","","","",""
"191.0","Arizona","AZ","05","H4AZ01061","","Susan","Bitter Smith","Bitter Smith, Susan","","REP","17297.0","0.24140289175459165","","","","","","","",""
"192.0","Arizona","AZ","05","H0AZ05102","","Chris","Salvino","Salvino, Chris","","REP","7156.0","0.09987160163010105","","","","","","","",""
"193.0","Arizona","AZ","05","H8AZ05121","","Lee","Gentry","Gentry, Lee","","REP","1157.0","0.016147490649249148","","","","","","","",""
"194.0","Arizona","AZ","05","H0AZ05110","","Mark","Spinks","Spinks, Mark","","REP","884.0","0.01233740858594317","","","","","","","",""
"195.0","Arizona","AZ","05","n/a","","","","","Party Votes:","REP","71652.0","","","","","","","","",""
"196.0","Arizona","AZ","05","H6AZ05067","(I)","Harry","Mitchell","Mitchell, Harry","","DEM","29716.0","1.0","","","91749.0","0.4322685512367491","","","",""
"197.0","Arizona","AZ","05","n/a","","","","","Party Votes:","DEM","29716.0","","","","","","","","",""
"198.0","Arizona","AZ","05","H0AZ05136","","Nick","Coons","Coons, Nick","","LIB","306.0","1.0","","","10127.0","0.04771260306242638","","","",""
"199.0","Arizona","AZ","05","n/a","","","","","Party Votes:","LIB","306.0","","","","","","","","",""
"200.0","Arizona","AZ","05","H0AZ05144 ","","Ryan ","Blackman","Blackman, Ryan ","","W(GRE)","4.0","1.0","","","","","","","",""
"201.0","Arizona","AZ","05","n/a","","","","","Party Votes:","GRE","4.0","","","","","","","","",""
"202.0","Arizona","AZ","05","n/a","","","","","District Votes:","","101678.0","","","","212250.0","","","","",""
"203.0","Arizona","AZ","","n/a","","","","","","","","","","","","","","","",""
"204.0","Arizona","AZ","06","H0AZ01184","(I)","Jeff","Flake","Flake, Jeff","","REP","62285.0","0.64596253966937","","","165649.0","0.6642353328013537","","","",""
"205.0","Arizona","AZ","06","H0AZ05094","","Jeff","Smith","Smith, Jeff","","REP","34137.0","0.35403746033062994","","","","","","","",""
"206.0","Arizona","AZ","06","n/a","","","","","Party Votes:","REP","96422.0","","","","","","","","",""
"207.0","Arizona","AZ","06","H8AZ06053","","Rebecca","Schneider","Schneider, Rebecca","","DEM","26220.0","1.0","","","72615.0","0.29117862885601664","","","",""
"208.0","Arizona","AZ","06","n/a","","","","","Party Votes:","DEM","26220.0","","","","","","","","",""
"209.0","Arizona","AZ","06","H0AZ06050","","Darell","Tapp","Tapp, Darell","","W(LIB)/LIB","28.0","1.0","","","7712.0","0.030924321224782763","","","",""
"210.0","Arizona","AZ","06","n/a","","","","","Party Votes:","LIB","28.0","","","","","","","","",""
"211.0","Arizona","AZ","06","H8AZ06012","","Richard","Grayson","Grayson, Richard","","W(GRE)/GRE","6.0","1.0","","","3407.0","0.013661717117846845","","","",""
"212.0","Arizona","AZ","06","n/a","","","","","Party Votes:","GRE","6.0","","","","","","","","",""
