"1.0","STATE","STATE ABBREVIATION","DISTRICT","FEC ID#","INCUMBENT INDICATOR (I)","CANDIDATE NAME (First)","CANDIDATE NAME (Last)","CANDIDATE NAME (Last, First)","TOTAL VOTES","PARTY","PRIMARY","PRIMARY %","RUNOFF","RUNOFF %","GENERAL ","GENERAL %","COMBINED GE PARTY TOTALS (CT, NY, SC)","COMBINED % (CT, NY, SC)","FOOTNOTES",""
"3413.0","New York","NY","24","H6NY24128","(I)","Michael A.","Arcuri","Arcuri, Michael A.","","MOD","","","","","4185.0","0.021830985915492956","89809.0","0.46848721961398015","",""
"3414.0","New York","NY","24","n/a","","","Scattered","Scattered","","W","","","","","292.0","0.0015232133541992698","","","",""
"3415.0","New York","NY","24","n/a","","","","","District Votes:","","","","","","191700.0","","","","",""
"3416.0","New York","NY","","n/a","","","","","","","","","","","","","","","",""
"3417.0","New York","NY","25","H0NY25078","","Ann Marie","Buerkle","Buerkle, Ann Marie","","","","","Combined Parties: ","","","","104602.0","0.5011258347945232","",""
"3418.0","New York","NY","25","H0NY25078","","Ann Marie","Buerkle","Buerkle, Ann Marie","","REP","Unopposed","","","","81380.0","0.38987419395019496","104602.0","0.5011258347945232","",""
"3419.0","New York","NY","25","H0NY25078","","Ann Marie","Buerkle","Buerkle, Ann Marie","","CRV","Unopposed","","","","16830.0","0.08062893443329788","104602.0","0.5011258347945232","",""
"3420.0","New York","NY","25","H0NY25078","","Ann Marie","Buerkle","Buerkle, Ann Marie","","IDP","Unopposed","","","","6392.0","0.030622706411030307","104602.0","0.5011258347945232","",""
"3421.0","New York","NY","25","H6NY25125","(I)","Daniel B.","Maffei","Maffei, Daniel B.","","","","","Combined Parties: ","","","","103954.0","0.498021405233455","",""
"3422.0","New York","NY","25","H6NY25125","(I)","Daniel B.","Maffei","Maffei, Daniel B.","","DEM","Unopposed","","","","95146.0","0.45582415897745454","103954.0","0.498021405233455","",""
"3423.0","New York","NY","25","H6NY25125","(I)","Daniel B.","Maffei","Maffei, Daniel B.","","WF","Unopposed","","","","8808.0","0.04219724625600046","103954.0","0.498021405233455","",""
"3424.0","New York","NY","25","n/a","","","Scattered","Scattered","","W ","","","","","178.0","0.0008527599720218077","","","",""
"3425.0","New York","NY","25","n/a","","","","","District Votes:","","","","","","208734.0","","","","",""
"3426.0","New York","NY","","n/a","","","","","","","","","","","","","","","",""
"3427.0","New York","NY","26","H8NY26095","(I)","Christopher J.","Lee","Lee, Christopher J.","","","","","Combined Parties:","","","","151449.0","0.7358859114210053","",""
"3428.0","New York","NY","26","H8NY26095","(I)","Christopher J.","Lee","Lee, Christopher J.","","REP","Unopposed","","","","121371.0","0.5897378586526081","151449.0","0.7358859114210053","",""
"3429.0","New York","NY","26","H8NY26095","(I)","Christopher J.","Lee","Lee, Christopher J.","","CRV","Unopposed","","","","19368.0","0.09410850076528753","151449.0","0.7358859114210053","",""
"3430.0","New York","NY","26","H8NY26095","(I)","Christopher J.","Lee","Lee, Christopher J.","","IDP","Unopposed","","","","10710.0","0.05203955200310974","151449.0","0.7358859114210053","",""
"3431.0","New York","NY","26","H0NY26050","","Philip A.","Fedele","Fedele, Philip A.","","DEM","Unopposed","","","","54307.0","0.2638759991253857","","","",""
"3432.0","New York","NY","26","n/a","","","Scattered","Scattered","","W","","","","","49.0","0.0002380894536089988","","","",""
"3433.0","New York","NY","26","n/a","","","","","District Votes:","","","","","","205805.0","","","","",""
"3434.0","New York","NY","","n/a","","","","","","","","","","","","","","","",""
"3435.0","New York","NY","27","H4NY27076","(I)","Brian","Higgins","Higgins, Brian","","","","","Combined Parties","","","","119085.0","0.6093953892996955","",""
"3436.0","New York","NY","27","H4NY27076","(I)","Brian","Higgins","Higgins, Brian","","DEM","Unopposed","","","","106644.0","0.5457308804339482","119085.0","0.6093953892996955","",""
"3437.0","New York","NY","27","H4NY27076","(I)","Brian","Higgins","Higgins, Brian","","WF","Unopposed","","","","12441.0","0.06366450886574726","119085.0","0.6093953892996955","",""
"3438.0","New York","NY","27","H0NY27066","","Leonard A.","Roberto","Roberto, Leonard A.","","","","","Combined Parties:","","","","76320.0","0.3905534375559706","",""
"3439.0","New York","NY","27","H0NY27066","","Leonard A.","Roberto","Roberto, Leonard A.","","REP","Unopposed","","","","63015.0","0.3224675690197784","76320.0","0.3905534375559706","",""
"3440.0","New York","NY","27","H0NY27066","","Leonard A.","Roberto","Roberto, Leonard A.","","CRV/TX","Unopposed","","","","13305.0","0.06808586853619221","76320.0","0.3905534375559706","",""
"3441.0","New York","NY","27","n/a","","","Scattered","Scattered","","W ","","","","","10.0","5.117314433385359e-05","","","",""
"3442.0","New York","NY","27","n/a","","","","","District Votes:","","","","","","195415.0","","","","",""
"3443.0","New York","NY","","n/a","","","","","","","","","","","","","","","",""
"3444.0","New York","NY","28","H6NY03031","(I)","Louise M.","Slaughter","Slaughter, Louise M.","","","","","Combined Parties:","","","","102514.0","0.6490405009275263","",""
"3445.0","New York","NY","28","H6NY03031","(I)","Louise M.","Slaughter","Slaughter, Louise M.","","DEM","Unopposed","","","","91103.0","0.5767947476052093","102514.0","0.6490405009275263","",""
"3446.0","New York","NY","28","H6NY03031","(I)","Louise M.","Slaughter","Slaughter, Louise M.","","IDP","Unopposed","","","","5976.0","0.037835476457292634","102514.0","0.6490405009275263","",""
"3447.0","New York","NY","28","H6NY03031","(I)","Louise M.","Slaughter","Slaughter, Louise M.","","WF","Unopposed","","","","5435.0","0.03441027686502434","102514.0","0.6490405009275263","",""
"3448.0","New York","NY","28","H0NY28122","","Jill A. ","Rowland","Rowland, Jill A. ","","","","","Combined Parties:","","","","55392.0","0.35069991832703373","",""
"3449.0","New York","NY","28","H0NY28122","","Jill A. ","Rowland","Rowland, Jill A. ","","REP","Unopposed","","","","45630.0","0.2888943759615567","55392.0","0.35069991832703373","",""
"3450.0","New York","NY","28","H0NY28122","","Jill A. ","Rowland","Rowland, Jill A. ","","CRV","Unopposed","","","","9762.0","0.06180554236547703","55392.0","0.35069991832703373","",""
"3451.0","New York","NY","28","n/a","","","Scattered","Scattered","","W ","","","","","41.0","0.00025958074543992607","","","",""
"3452.0","New York","NY","28","n/a","","","","","District Votes:","","","","","","157947.0","","","","",""
"3453.0","New York","NY","","n/a","","","","","","","","","","","","","","","",""
"3454.0","New York","NY","29 - FULL TERM","n/a","FULL TERM","","","","","","","","","","","","","","",""
"3455.0","New York","NY","29 - FULL TERM","H0NY29054","","Thomas W., II","Reed","Reed, Thomas W., II","","","","","Combined Parties:","","","","112314.0","0.5645621795516236","",""
"3456.0","New York","NY","29 - FULL TERM","H0NY29054","","Thomas W., II","Reed","Reed, Thomas W., II","","REP","Unopposed","","","","93167.0","0.468317080526792","112314.0","0.5645621795516236","",""
"3457.0","New York","NY","29 - FULL TERM","H0NY29054","","Thomas W., II","Reed","Reed, Thomas W., II","","CRV","Unopposed","","","","13505.0","0.0678847893837338","112314.0","0.5645621795516236","",""
"3458.0","New York","NY","29 - FULL TERM","H0NY29054","","Thomas W., II","Reed","Reed, Thomas W., II","","IDP","","","","","5642.0","0.028360309641097817","112314.0","0.5645621795516236","",""
"3459.0","New York","NY","29 - FULL TERM","H0NY29062","","Matthew C.","Zeller","Zeller, Matthew C.","","","","","Combined Parties:","","","","86099.0","0.4327887805368453","",""
"3460.0","New York","NY","29 - FULL TERM","H0NY29062","","Matthew C.","Zeller","Zeller, Matthew C.","","DEM","Unopposed","","","","79558.0","0.3999095204584297","86099.0","0.4327887805368453","",""
"3461.0","New York","NY","29 - FULL TERM","H0NY29062","","Matthew C.","Zeller","Zeller, Matthew C.","","WF","Unopposed","","","","6541.0","0.0328792600784156","86099.0","0.4327887805368453","",""
"3462.0","New York","NY","29 - FULL TERM","n/a","","","Scattered","Scattered","","W ","","","","","527.0","0.002649039911531115","","","",""
"3463.0","New York","NY","29 - FULL TERM","n/a","","","","","District Votes:","","","","","","198940.0","","","","",""
"3464.0","New York","NY","","n/a","","","","","","","","","","","","","","","",""
"3465.0","New York","NY","29 - UNEXPIRED TERM","n/a","UNEXPIRED TERM","","","","","","","","","","","","","","",""
"3466.0","New York","NY","29 - UNEXPIRED TERM","H0NY29054","","Thomas W., II","Reed","Reed, Thomas W., II","","","","","Combined Parties:","","","","105907.0","0.5682102292541862","",""
"3467.0","New York","NY","29 - UNEXPIRED TERM","H0NY29054","","Thomas W., II","Reed","Reed, Thomas W., II","","REP","","","","","87767.0","0.470885845042841","","","",""
"3468.0","New York","NY","29 - UNEXPIRED TERM","H0NY29054","","Thomas W., II","Reed","Reed, Thomas W., II","","CRV","","","","","13028.0","0.06989757869379302","","","",""
"3469.0","New York","NY","29 - UNEXPIRED TERM","H0NY29054","","Thomas W., II","Reed","Reed, Thomas W., II","","IDP","","","","","5112.0","0.02742680551755219","","","",""
"3470.0","New York","NY","29 - UNEXPIRED TERM","H0NY29062","","Matthew C.","Zeller","Zeller, Matthew C.","","","","","Combined Parties:","","","","80480.0","0.4317897707458138","",""
"3471.0","New York","NY","29 - UNEXPIRED TERM","H0NY29062","","Matthew C.","Zeller","Zeller, Matthew C.","","DEM","","","","","74021.0","0.3971360663565592","","","",""
"3472.0","New York","NY","29 - UNEXPIRED TERM","H0NY29062","","Matthew C.","Zeller","Zeller, Matthew C.","","WF","","","","","6459.0","0.034653704389254615","","","",""
"3473.0","New York","NY","29 - UNEXPIRED TERM","n/a","","","","","District Votes:","","","","","","186387.0","","","","",""
"3474.0","New York","NY","H","n/a","","","","","Total State Votes:","","318499.0","","","","4685750.0","","","","",""
"3475.0","New York","NY","","n/a","","","","","","","","","","","","","","","",""
"3476.0","New York","NY","","n/a","","","","","","","","","","","","","","","",""
"3477.0","New York","NY","SFULL","n/a","FULL TERM","","","","","","","","","","","","","","",""
"3478.0","New York","NY","SFULL","S8NY00082","(I)","Charles E.","Schumer","Schumer, Charles E.","","","","","Combined Parties:","","","","3047880.0","0.6630444335576345","",""
"3479.0","New York","NY","SFULL","S8NY00082","(I)","Charles E.","Schumer","Schumer, Charles E.","","DEM","Unopposed","","","","2686698.0","0.5844718799790115","3047880.0","0.6630444335576345","",""
"3480.0","New York","NY","SFULL","S8NY00082","(I)","Charles E.","Schumer","Schumer, Charles E.","","WF","Unopposed","","","","183714.0","0.0399656630400827","3047880.0","0.6630444335576345","",""
"3481.0","New York","NY","SFULL","S8NY00082","(I)","Charles E.","Schumer","Schumer, Charles E.","","IDP","Unopposed","","","","177468.0","0.03860689053854032","3047880.0","0.6630444335576345","",""
"3482.0","New York","NY","SFULL","S0NY00550","","Jay","Townsend","Townsend, Jay","","","","","Combined Parties:","","","","1480423.0","0.3220554055476902","",""
"3483.0","New York","NY","SFULL","S0NY00550","","Jay","Townsend","Townsend, Jay","","REP","234440.0","0.5541425964620345","","","1239605.0","0.2696671768771118","1480423.0","0.3220554055476902","",""
"3484.0","New York","NY","SFULL","S0NY00576","","Gary","Berntsen","Berntsen, Gary","","REP","188628.0","0.44585740353796555","","","","","","","",""
"3485.0","New York","NY","SFULL","n/a","","","","","Party Votes:","REP","423068.0","","","","","","","","",""
"3486.0","New York","NY","SFULL","S0NY00550","","Jay","Townsend","Townsend, Jay","","CRV","Unopposed","","","","240818.0","0.05238822867057838","1480423.0","0.3220554055476902","",""
"3487.0","New York","NY","SFULL","S0NY00626","","Colia","Clark","Clark, Colia","","GRE","","","","","42341.0","0.009210980865803051","","","",""
"3488.0","New York","NY","SFULL","S0NY00444","","Randy A. ","Credico","Credico, Randy A. ","","APP/LIB","","","","","24871.0","0.005410507666644332","","","",""
"3489.0","New York","NY","SFULL","n/a","","","Scattered","Scattered","","W ","","","","","1281.0","0.00027867236222795183","","","",""
"3490.0","New York","NY","SFULL","n/a","","","","","Total Full Term Votes:","","423068.0","","","","4596796.0","","","","",""
"3491.0","New York","NY","","n/a","","","","","","","","","","","","","","","",""
"3492.0","New York","NY","","n/a","","","","","","","","","","","","","","","",""
"3493.0","New York","NY","SUN","n/a","UNEXPIRED TERM","","","","","","","","","","","","","","",""
"3494.0","New York","NY","SUN","S0NY00410","","Kirsten E.","Gillibrand","Gillibrand, Kirsten E.","","","","","Combined Parties:","","","","2837684.0","0.6293697329050422","",""
"3495.0","New York","NY","SUN","S0NY00410","(I)","Kirsten E.","Gillibrand","Gillibrand, Kirsten E.","","DEM","464512.0","0.7614913369278512","","","2479393.0","0.5499043974511014","2837684.0","0.6293697329050422","",""
"3496.0","New York","NY","SUN","S0NY00592","","Gail","Goode","Goode, Gail","","DEM","145491.0","0.23850866307214882","","","","","","","",""
"3497.0","New York","NY","SUN","n/a","","","","","Party Votes:","DEM","610003.0","","","","","","","","",""
"3498.0","New York","NY","SUN","S0NY00410","(I)","Kirsten E.","Gillibrand","Gillibrand, Kirsten E.","","WF","Unopposed","","","","182655.0","0.04051103948282137","2837684.0","0.6293697329050422","",""
"3499.0","New York","NY","SUN","S0NY00410","(I)","Kirsten E.","Gillibrand","Gillibrand, Kirsten E.","","IDP","Unopposed","","","","175636.0","0.0389542959711194","2837684.0","0.6293697329050422","",""
"3500.0","New York","NY","SUN","S0NY00287","","Joseph J.","DioGuardi","DioGuardi, Joseph J.","","","","","Combined Parties:","","","","1582693.0","0.35102536811028995","",""
"3501.0","New York","NY","SUN","S0NY00287","","Joseph J.","DioGuardi","DioGuardi, Joseph J.","","REP","185483.0","0.4178053186648827","","","1338308.0","0.2968232363098503","1582693.0","0.35102536811028995","",""
"3502.0","New York","NY","SUN","S0NY00493","","David","Malpass","Malpass, David","","REP","167151.0","0.3765120082172156","","","","","","","",""
"3503.0","New York","NY","SUN","S0NY00477","","Bruce","Blakeman","Blakeman, Bruce","","REP","91312.0","0.20568267311790173","","","","","","","",""
"3504.0","New York","NY","SUN","n/a","","","","","Party Votes:","REP","443946.0","","","","","","","","",""
"3505.0","New York","NY","SUN","S0NY00287","","Joseph J.","DioGuardi","DioGuardi, Joseph J.","","CRV/TX","Unopposed","","","","244385.0","0.05420213180043963","1582693.0","0.35102536811028995","",""
"3506.0","New York","NY","SUN","S0NY00642","","Cecile A.","Lawrence","Lawrence, Cecile A.","","GRE","","","","","35489.0","0.007871102790538707","","","",""
"3507.0","New York","NY","SUN","S0NY00311","","John","Clifton","Clifton, John","","LIB","","","","","18414.0","0.004084039752739715","","","",""
"3508.0","New York","NY","SUN","S0NY00436","","Joseph  ","Huff","Huff, Joseph  ","","RDH","","","","","17019.0","0.0037746428017745855","","","",""
"3509.0","New York","NY","SUN","S0NY00634","","Vivia","Morgan","Morgan, Vivia","","APP","","","","","11787.0","0.0026142378932085928","","","",""
"3510.0","New York","NY","SUN","S0NY00477","","Bruce","Blakeman","Blakeman, Bruce","","TRP","","","","","4516.0","0.0010016033193967935","","","",""
"3511.0","New York","NY","SUN","n/a","","","Scattered","Scattered","","W ","","","","","1169.0","0.00025927242700948886","","","",""
"3512.0","New York","NY","SUN","n/a","","","","","Total Unexpired Term Votes:","","1053949.0","","","","4508771.0","","","","",""
"3513.0","","","","n/a","","","","","","","","","","","","","","","",""
"3514.0","North Carolina","NC","01","H4NC01046","(I)","G. K.","Butterfield","Butterfield, G. K.","","DEM","46509.0","0.7293126969939314","","","103294.0","0.59309489495352","","","",""
"3515.0","North Carolina","NC","01","H0NC01051","","Chad","Larkins","Larkins, Chad","","DEM","17262.0","0.2706873030060686","","","","","","","",""
"3516.0","North Carolina","NC","01","n/a","","","","","Party Votes:","DEM","63771.0","","","","","","","","",""
"3517.0","North Carolina","NC","01","H0NC01069","","Ashley","Woolard","Woolard, Ashley","","REP","3774.0","0.45235526788924846","","","70867.0","0.40690510504648","","","",""
"3518.0","North Carolina","NC","01","H0NC07116","","Jerry","Grimes","Grimes, Jerry","","REP","2220.0","0.2660913340524991","","","","","","","",""
"3519.0","North Carolina","NC","01","H0NC01085","","Jim","Miller","Miller, Jim","","REP","1252.0","0.1500659235287067","","","","","","","",""
"3520.0","North Carolina","NC","01","H0NC01077","","John","Carter","Carter, John","","REP","1097.0","0.13148747452954573","","","","","","","",""
"3521.0","North Carolina","NC","01","n/a","","","","","Party Votes:","REP","8343.0","","","","","","","","",""
"3522.0","North Carolina","NC","01","n/a","","","","","District Votes:","","72114.0","","","","174161.0","","","","",""
"3523.0","North Carolina","NC","","n/a","","","","","","","","","","","","","","","",""
"3524.0","North Carolina","NC","02","H0NC02059","","Renee","Ellmers","Ellmers, Renee","","REP","9171.0","0.5511087074094105","","","93876.0","0.4946726105788991","","","",""
"3525.0","North Carolina","NC","02","H0NC02042","","Frank","Deatrich","Deatrich, Frank","","REP","4280.0","0.257196081966228","","","","","","","",""
"3526.0","North Carolina","NC","02","H0NC02067","","Todd","Gailas","Gailas, Todd","","REP","3190.0","0.1916952106243615","","","","","","","",""
"3527.0","North Carolina","NC","02","n/a","","","","","Party Votes:","REP","16641.0","","","","","","","","",""
"3528.0","North Carolina","NC","02","H6NC02080","(I)","Bob","Etheridge","Etheridge, Bob","","DEM","Unopposed","","","","92393.0","0.4868580522094702","","","",""
"3529.0","North Carolina","NC","02","H0NC02075","","Tom","Rose","Rose, Tom","","LIB","Unopposed","","","","3505.0","0.018469337211630677","","","",""
"3530.0","North Carolina","NC","02","n/a","","","","","District Votes:","","16641.0","","","","189774.0","","","","",""
"3531.0","North Carolina","NC","","n/a","","","","","","","","","","","","","","","",""
"3532.0","North Carolina","NC","03","H2NC01081","(I)","Walter B.","Jones","Jones, Walter B.","","REP","21551.0","0.7687725181036635","","","143225.0","0.7186258178461045","","","",""
"3533.0","North Carolina","NC","03","H0NC03115","","Bob","Cavanaugh","Cavanaugh, Bob","","REP","4221.0","0.1505725395070096","","","","","","","",""
"3534.0","North Carolina","NC","03","H6NC03120","","Craig","Weber","Weber, Craig","","REP","2261.0","0.08065494238932687","","","","","","","",""
"3535.0","North Carolina","NC","03","n/a","","","","","Party Votes:","REP","28033.0","","","","","","","","",""
"3536.0","North Carolina","NC","03","H0NC03099","","Johnny G.","Rouse","Rouse, Johnny G.","","DEM","Unopposed","","","","51317.0","0.2574810339983141","","","",""
"3537.0","North Carolina","NC","03","H0NC03107","","Darryl","Holloman","Holloman, Darryl","","LIB","Unopposed","","","","4762.0","0.023893148155581422","","","",""
"3538.0","North Carolina","NC","03","n/a","","","","","District Votes:","","28033.0","","","","199304.0","","","","",""
"3539.0","North Carolina","NC","","n/a","","","","","","","","","","","","","","","",""
"3540.0","North Carolina","NC","04","H6NC04037","(I)","David","Price","Price, David","","DEM","Unopposed","","","","155384.0","0.5716177639130051","","","",""
"3541.0","North Carolina","NC","04","H8NC04074","","William (B.J.)","Lawson","Lawson, William (B.J.)","","REP","10449.0","0.4598829276880419","","","116448.0","0.4283822360869949","","","",""
"3542.0","North Carolina","NC","04","H0NC04147","","Frank","Roche","Roche, Frank","","REP","9228.0","0.40614409577043264","","","","","","","",""
"3543.0","North Carolina","NC","04","H0NC04154","","David","Burnett","Burnett, David","","REP","1967.0","0.08657189384270059","","","","","","","",""
"3544.0","North Carolina","NC","04","H0NC04139","","George","Hutchins","Hutchins, George","","REP","1077.0","0.04740108269882488","","","","","","","",""
"3545.0","North Carolina","NC","04","n/a","","","","","Party Votes:","REP","22721.0","","","","","","","","",""
"3546.0","North Carolina","NC","04","n/a","","","","","District Votes:","","22721.0","","","","271832.0","","","","",""
"3547.0","North Carolina","NC","","n/a","","","","","","","","","","","","","","","",""
"3548.0","North Carolina","NC","05","H4NC05146","(I)","Virginia","Foxx","Foxx, Virginia","","REP","38174.0","0.7984021082132474","","","140525.0","0.6588540323601533","","","",""
"3549.0","North Carolina","NC","05","H0NC05151","","Keith","Gardner","Gardner, Keith","","REP","9639.0","0.20159789178675255","","","","","","","",""
"3550.0","North Carolina","NC","05","n/a","","","","","Party Votes:","REP","47813.0","","","","","","","","",""
"3551.0","North Carolina","NC","05","H0NC00012","","Billy","Kennedy","Kennedy, Billy","","DEM","Unopposed","","","","72762.0","0.3411459676398468","","","",""
"3552.0","North Carolina","NC","05","n/a","","","","","District Votes:","","47813.0","","","","213287.0","","","","",""
"3553.0","North Carolina","NC","","n/a","","","","","","","","","","","","","","","",""
"3554.0","North Carolina","NC","06","H4NC06011","(I)","Howard","Coble","Coble, Howard","","REP","31663.0","0.6348343892854279","","","156252.0","0.7520829422552091","","","",""
"3555.0","North Carolina","NC","06","H0NC06142","","Billy","Yow","Yow, Billy","","REP","7929.0","0.15897425615526506","","","","","","","",""
"3556.0","North Carolina","NC","06","H0NC06126","","James","Taylor","Taylor, James","","REP","7553.0","0.15143556018926937","","","","","","","",""
"3557.0","North Carolina","NC","06","H0NC06167","","Cathy Brewer","Hinson","Hinson, Cathy Brewer","","REP","1468.0","0.02943299382468522","","","","","","","",""
"3558.0","North Carolina","NC","06","H0NC06175","","Jeff","Phillips","Phillips, Jeff","","REP","1095.0","0.021954447028631006","","","","","","","",""
"3559.0","North Carolina","NC","06","H0NC06159","","Jon","Mangin","Mangin, Jon","","REP","168.0","0.003368353516721469","","","","","","","",""
"3560.0","North Carolina","NC","06","n/a","","","","","Party Votes:","REP","49876.0","","","","","","","","",""
"3561.0","North Carolina","NC","06","H0NC06134","","Sam","Turner","Turner, Sam","","DEM","Unopposed","","","","51507.0","0.24791705774479084","","","",""
"3562.0","North Carolina","NC","06","n/a","","","","","District Votes:","","49876.0","","","","207759.0","","","","",""
"3563.0","North Carolina","NC","","n/a","","","","","","","","","","","","","","","",""
"3564.0","North Carolina","NC","07","H8NC07044","(I)","Mike","McIntyre","McIntyre, Mike","","DEM","Unopposed","","","","113957.0","0.5368113620839908","","","",""
"3565.0","North Carolina","NC","07","H0NC07108","","Ilario Gregory","Pantano","Pantano, Ilario Gregory","","REP","17177.0","0.5101877153380064","","","98328.0","0.4631886379160091","","","",""
"3566.0","North Carolina","NC","07","H8NC07085","","Will","Breazeale","Breazeale, Will","","REP","11629.0","0.34540216229060233","","","","","","","",""
"3567.0","North Carolina","NC","07","H0NC07124","","Randy","Crow","Crow, Randy","","REP","4862.0","0.14441012237139123","","","","","","","",""
"3568.0","North Carolina","NC","07","n/a","","","","","Party Votes:","REP","33668.0","","","","","","","","",""
"3569.0","North Carolina","NC","07","n/a","","","","","District Votes:","","33668.0","","","","212285.0","","","","",""
"3570.0","North Carolina","NC","","n/a","","","","","","","","","","","","","","","",""
"3571.0","North Carolina","NC","08","H6NC08111","(I)","Larry","Kissell","Kissell, Larry","","DEM","24541.0","0.6269896016964308","","","88776.0","0.5301895581753682","","","",""
"3572.0","North Carolina","NC","08","H0NC08205","","Nancy","Shakir","Shakir, Nancy","","DEM","14600.0","0.37301039830356914","","","","","","","",""
"3573.0","North Carolina","NC","08","n/a","","","","","Party Votes:","DEM","39141.0","","","","","","","","",""
"3574.0","North Carolina","NC","08","H0NC08197","","Harold","Johnson","Johnson, Harold","","REP","8567.0","0.3306828270351642","9261.0","0.6097175587596286","73129.0","0.43674227493699314","","","",""
"3575.0","North Carolina","NC","08","H0NC08163","","Tim","D'Annunzio","D'Annunzio, Tim","","REP","9548.0","0.36854904079978384","5928.0","0.3902824412403713","","","","","",""
"3576.0","North Carolina","NC","08","H0NC08171","","Hal","Jordan","Jordan, Hal","","REP","4757.0","0.18361832709306364","","","","","","","",""
"3577.0","North Carolina","NC","08","H0NC08155","","Lou","Huddleston","Huddleston, Lou","","REP","2141.0","0.08264175705407804","","","","","","","",""
"3578.0","North Carolina","NC","08","H0NC08213","","Lee","Cornelison","Cornelison, Lee","","REP","466.0","0.01798741652835141","","","","","","","",""
"3579.0","North Carolina","NC","08","H0NC08130","","Darrell","Day","Day, Darrell","","REP","428.0","0.016520631489558808","","","","","","","",""
"3580.0","North Carolina","NC","08","n/a","","","","","Party Votes:","REP","25907.0","","15189.0","","","","","","",""
"3581.0","North Carolina","NC","08","H0NC08221","","Thomas","Hill","Hill, Thomas","","LIB","Unopposed","","","","5098.0","0.030446363516919293","","","",""
"3582.0","North Carolina","NC","08","H0NC08239","","Anthony W.","Graves","Graves, Anthony W.","","W","","","","","240.0","0.0014333321388898842","","","",""
"3583.0","North Carolina","NC","08","n/a","","","Scattered","Scattered","","W","","","","","199.0","0.001188471231829529","","","",""
"3584.0","North Carolina","NC","08","n/a","","","","","District Votes:","","65048.0","","15189.0","","167442.0","","","","",""
"3585.0","North Carolina","NC","","n/a","","","","","","","","","","","","","","","",""
"3586.0","North Carolina","NC","09","H4NC09106","(I)","Sue","Myrick","Myrick, Sue","","REP","Unopposed","","","","158790.0","0.6896716469770674","","","",""
"3587.0","North Carolina","NC","09","H0NC09138","","Jeff","Doctor","Doctor, Jeff","","DEM","Unopposed","","","","71450.0","0.3103283530229326","","","",""
"3588.0","North Carolina","NC","09","n/a","","","","","District Votes:","","","","","","230240.0","","","","",""
"3589.0","North Carolina","NC","","n/a","","","","","","","","","","","","","","","",""
"3590.0","North Carolina","NC","10","H4NC10047","(I)","Patrick","McHenry","McHenry, Patrick","","REP","27657.0","0.6309485787288406","","","130813.0","0.7117719073917893","","","",""
"3591.0","North Carolina","NC","10","H0NC10169","","Vance","Patterson","Patterson, Vance","","REP","11392.0","0.2598895834283889","","","","","","","",""
"3592.0","North Carolina","NC","10","H0NC10151","","Scott","Keadle","Keadle, Scott","","REP","3604.0","0.0822192818360177","","","","","","","",""
"3593.0","North Carolina","NC","10","H0NC10185","","David Michael","Boldon","Boldon, David Michael","","REP","1181.0","0.02694255600675275","","","","","","","",""
"3594.0","North Carolina","NC","10","n/a","","","","","Party Votes:","REP","43834.0","","","","","","","","",""
"3595.0","North Carolina","NC","10","H0NC10177","","Jeff","Gregory","Gregory, Jeff","","DEM","9621.0","0.5091014922213991","","","52972.0","0.2882280926082107","","","",""
"3596.0","North Carolina","NC","10","H4NC10088","","Anne N.","Fischer","Fischer, Anne N.","","DEM","9277.0","0.4908985077786009","","","","","","","",""
"3597.0","North Carolina","NC","10","n/a","","","","","Party Votes:","DEM","18898.0","","","","","","","","",""
"3598.0","North Carolina","NC","10","n/a","","","","","District Votes:","","62732.0","","","","183785.0","","","","",""
"3599.0","North Carolina","NC","","n/a","","","","","","","","","","","","","","","",""
"3600.0","North Carolina","NC","11","H6NC11172","(I)","Heath","Shuler","Shuler, Heath","","DEM","26223.0","0.6136906154926282","","","131225.0","0.5434399990060919","","","",""
"3601.0","North Carolina","NC","11","H0NC11134","","Aixa","Wilson","Wilson, Aixa","","DEM","16507.0","0.38630938450737184","","","","","","","",""
"3602.0","North Carolina","NC","11","n/a","","","","","Party Votes:","DEM","42730.0","","","","","","","","",""
"3603.0","North Carolina","NC","11","H0NC11118","","Jeff","Miller","Miller, Jeff","","REP","14059.0","0.4024561303065869","","","110246.0","0.45656000099390814","","","",""
"3604.0","North Carolina","NC","11","H0NC11084","","Dan","Eichenbaum","Eichenbaum, Dan","","REP","11949.0","0.34205479059914695","","","","","","","",""
"3605.0","North Carolina","NC","11","H0NC11100","","Gregory A.","Newman","Newman, Gregory A.","","REP","4103.0","0.1174534108149887","","","","","","","",""
"3606.0","North Carolina","NC","11","H0NC11092","","Kenny","West","West, Kenny","","REP","2777.0","0.07949503334955486","","","","","","","",""
"3607.0","North Carolina","NC","11","H0NC11142","","Ed","Krause","Krause, Ed","","REP","1254.0","0.035897289096270005","","","","","","","",""
"3608.0","North Carolina","NC","11","H0NC11126","","James (Jake)","Howard","Howard, James (Jake)","","REP","791.0","0.022643345833452608","","","","","","","",""
"3609.0","North Carolina","NC","11","n/a","","","","","Party Votes:","REP","34933.0","","","","","","","","",""
"3610.0","North Carolina","NC","11","n/a","","","","","District Votes:","","77663.0","","","","241471.0","","","","",""
"3611.0","North Carolina","NC","","n/a","","","","","","","","","","","","","","","",""
"3612.0","North Carolina","NC","12.0","H2NC12021","(I)","Mel","Watt","Watt, Mel","","DEM","Unopposed","","","","103495.0","0.6388304209077386","","","",""
