"1.0","STATE ABBREVIATION","STATE","DISTRICT","FEC ID#","(I)","CANDIDATE NAME (First)","CANDIDATE NAME (Last)","CANDIDATE NAME","TOTAL VOTES","PARTY","PRIMARY VOTES","PRIMARY %","RUNOFF VOTES","RUNOFF %","GENERAL ","GENERAL %","GE RUNOFF ELECTION VOTES (LA)","GE RUNOFF ELECTION % (LA)","COMBINED GE PARTY TOTALS (CT, NY, SC)","COMBINED % (CT, NY, SC)","GE WINNER INDICATOR","FOOTNOTES"
"62.0","AK","Alaska","00","n/a","","","","Scattered","","W","","","","","1277.0","0.004564936852302665","","","","","",""
"63.0","AK","Alaska","00","n/a","","","","","District Votes:","","168171.0","","","","279741.0","","","","","","",""
"64.0","AK","Alaska","H","n/a","","","","","Total State Votes:","","168171.0","","","","279741.0","","","","","","",""
"65.0","AK","Alaska","","n/a","","","","","","","","","","","","","","","","","",""
"66.0","AK","Alaska","","n/a","","","","","","","","","","","","","","","","","",""
"67.0","","","","n/a","","","","","","","","","","","","","","","","","",""
"68.0","AS","American Samoa","00","H4AS00036","","Aumua","Amata","Amata, Aumua","","R","","","","","4306.0","0.4202615654889713","","","","","W",""
"69.0","AS","American Samoa","00","H0AS00018","(I)","Eni F. H.","Faleomavaega","Faleomavaega, Eni F. H.","","D","","","","","3157.0","0.30812024204567634","","","","","",""
"70.0","AS","American Samoa","00","H4AS00085","","Togiola","Tulafono","Tulafono, Togiola","","D","","","","","1130.0","0.11028694124536405","","","","","",""
"71.0","AS","American Samoa","00","H4AS00069","","Mapu S.","Jamias","Jamias, Mapu S.","","D","","","","","652.0","0.06363458910794456","","","","","",""
"72.0","AS","American Samoa","00","H8AS00052","","Rosie Fuala'au Tago","Lancaster","Lancaster, Rosie Fuala'au Tago","","IND","","","","","268.0","0.026156548897130587","","","","","",""
"73.0","AS","American Samoa","00","H4AS00093","","Meleagi","Suitonu-Chapman","Suitonu-Chapman, Meleagi","","D","","","","","229.0","0.022350185438219792","","","","","",""
"74.0","AS","American Samoa","00","H2AS00030","","Tuika","Tuika","Tuika, Tuika","","IND","","","","","201.0","0.019617411672847942","","","","","",""
"76.0","AS","American Samoa","00","H4AS00077","","Mark","Ude","Ude, Mark","","IND","","","","","143.0","0.013956666016006246","","","","","",""
"77.0","AS","American Samoa","","n/a","","","","","District Votes:","","","","","","10246.0","","","","","","",""
"78.0","AS","American Samoa","H","n/a","","","","","Total State Votes:","","","","","","10246.0","","","","","","",""
"79.0","","","","n/a","","","","","","","","","","","","","","","","","",""
"80.0","AZ","Arizona","01","H8AZ01104 ","(I)","Ann","Kirkpatrick","Kirkpatrick, Ann","","D","51393.0","1.0","","","97391.0","0.5261136380824789","","","","","W",""
"81.0","AZ","Arizona","01","n/a","","","","","Party Votes:","D","51393.0","","","","","","","","","","",""
"82.0","AZ","Arizona","01","H0AZ01325 ","","Andy","Tobin","Tobin, Andy","","R","18814.0","0.3584506639739364","","","87723.0","0.4738863619175211","","","","","",""
"83.0","AZ","Arizona","01","H4AZ01145 ","","Gary","Kiehne","Kiehne, Gary","","R","18407.0","0.35069636290891076","","","","","","","","","",""
"84.0","AZ","Arizona","01","H4AZ01152 ","","Adam","Kwasman","Kwasman, Adam","","R","15266.0","0.2908529731171528","","","","","","","","","",""
"85.0","AZ","Arizona","01","n/a","","","","","Party Votes:","R","52487.0","","","","","","","","","","",""
"86.0","AZ","Arizona","01","n/a","","","","","District Votes:","","103880.0","","","","185114.0","","","","","","",""
"87.0","AZ","Arizona","02","H2AZ08102 ","","Martha ","McSally","McSally, Martha ","","R","45492.0","0.6935813386186919","","","109714.0","0.5001435962892895","","","","","W",""
"88.0","AZ","Arizona","02","H4AZ02143 ","","Chuck","Wooten","Wooten, Chuck","","R","14995.0","0.22861716725110534","","","","","","","","","",""
"89.0","AZ","Arizona","02","H4AZ02135 ","","Shelley","Kais","Kais, Shelley","","R","5103.0","0.07780149413020278","","","","","","","","","",""
"90.0","AZ","Arizona","02","n/a","","","","","Party Votes:","R","65590.0","","","","","","","","","","",""
"91.0","AZ","Arizona","02","H2AZ08094","(I)","Ron","Barber","Barber, Ron","","D","49039.0","1.0","","","109547.0","0.49938230802543704","","","","","",""
"92.0","AZ","Arizona","02","n/a","","","","","Party Votes:","D","49039.0","","","","","","","","","","",""
