"#","STATE","STATE ABBREVIATION","DISTRICT","FEC ID","INCUMBENT INDICATOR","FIRST NAME","LAST NAME","LAST NAME, FIRST","TOTAL VOTES","PARTY","PRIMARY","PRIMARY %","RUNOFF","RUNOFF %","GENERAL","GENERAL %","GE RUNOFF","GE RUNOFF %","COMBINED GE PARTY TOTALS (NY, SC)","COMBINED % (NY, SC)","Notes (See Endnotes Tab)"
"64.0","Arizona","AZ","01","","","","","","Party Votes:","REP","37664.0","","","","","","","","","",""
"65.0","Arizona","AZ","01","H6AZ00035","","Ellen","Simon","Simon, Ellen","","DEM","20273.0","0.5278190007550314","","","88691.0","0.43446377223362515","","","","",""
"66.0","Arizona","AZ","01","H6AZ01157","","Susan","Friedman","Friedman, Susan","","DEM","7062.0","0.18386315707256112","","","","","","","","",""
"67.0","Arizona","AZ","01","H4AZ01129","","Bob","Donahue","Donahue, Bob","","DEM","5927.0","0.15736512319456245","","","","","","","","",""
"68.0","Arizona","AZ","01","H6AZ01132","","Mike","Caccioppoli","Caccioppoli, Mike","","DEM","3635.0","0.09651125743415463","","","","","","","","",""
"69.0","Arizona","AZ","01","H6AZ01140","","Vic","McKerlie","McKerlie, Vic","","DEM","1512.0","0.03936577364680153","","","","","","","","",""
"70.0","Arizona","AZ","01","","","","","","Party Votes:","DEM","38409.0","","","","","","","","","",""
"71.0","Arizona","AZ","01","H6AZ01165","","David","Schlosser","Schlosser, David","","LBT","606.0","1.0","","","9802.0","0.04801630261733427","","","","",""
"72.0","Arizona","AZ","01","","","","","","Party Votes:","LBT","606.0","","","","","","","","","",""
"73.0","Arizona","AZ","01","","","","","","District Votes:","","76679.0","","","","204139.0","","","","","",""
"74.0","Arizona","AZ","02","H4AZ04024","(I)","Trent","Franks","Franks, Trent","","REP","51386.0","1.0","","","135150.0","0.5861814712005552","","","","",""
"75.0","Arizona","AZ","02","","","","","","Party Votes:","REP","51386.0","","","","","","","","","",""
"76.0","Arizona","AZ","02","H6AZ02155","","John","Thrasher","Thrasher, John","","DEM","11521.0","0.4673833671399594","","","89671.0","0.388926960444136","","","","",""
"77.0","Arizona","AZ","02","H0AZ03248","","Gene","Scharer","Scharer, Gene","","DEM","8462.0","0.34328600405679516","","","","","","","","",""
"78.0","Arizona","AZ","02","H6AZ02163","","Suchindran ""Chat""","Chatterjee","Chatterjee, Suchindran ""Chat""","","DEM","4667.0","0.18933062880324544","","","","","","","","",""
"79.0","Arizona","AZ","02","","","","","","Party Votes:","DEM","24650.0","","","","","","","","","",""
"80.0","Arizona","AZ","02","H4AZ02119","","Powell","Gammill","Gammill, Powell","","LBT","494.0","1.0","","","5734.0","0.024869882026370575","","","","",""
"81.0","Arizona","AZ","02","H6AZ00027","","William","Crum","Crum, William","","W","","","","","5.0","2.1686328938237334e-05","","","","",""
"82.0","Arizona","AZ","02","","","","","","Party Votes:","LBT","494.0","","","","","","","","","",""
"83.0","Arizona","AZ","02","","","","","","District Votes:","","76530.0","","","","230560.0","","","","","",""
"84.0","Arizona","AZ","03","H4AZ04016","(I)","John","Shadegg","Shadegg, John","","REP","35763.0","1.0","","","112519.0","0.5926762848368967","","","","",""
"85.0","Arizona","AZ","03","","","","","","Party Votes:","REP","35763.0","","","","","","","","","",""
"86.0","Arizona","AZ","03","H6AZ03146","","Herb","Paine","Paine, Herb","","DEM","7902.0","0.5041791616155171","","","72586.0","0.3823354350036081","","","","",""
"87.0","Arizona","AZ","03","H6AZ03153","","Don","Chilton","Chilton, Don","","DEM","7759.0","0.49505519045492247","","","","","","","","",""
"88.0","Arizona","AZ","03","H6AZ03161","","Jim","McCoy","McCoy, Jim","","W(DEM)","12.0","0.0007656479295603905","","","","","","","","",""
"89.0","Arizona","AZ","03","","","","","","Party Votes:","DEM","15673.0","","","","","","","","","",""
"90.0","Arizona","AZ","03","H4AZ04073","","Mark","Yannone","Yannone, Mark","","LBT","322.0","1.0","","","4744.0","0.02498828015949518","","","","",""
"91.0","Arizona","AZ","03","","","","","","Party Votes:","LBT","322.0","","","","","","","","","",""
"92.0","Arizona","AZ","03","","","","","","District Votes:","","51758.0","","","","189849.0","","","","","",""
"93.0","Arizona","AZ","04","H2AZ02055","(I)","Ed","Pastor","Pastor, Ed","","DEM","14833.0","1.0","","","56464.0","0.7251897612411862","","","","",""
"94.0","Arizona","AZ","04","","","","","","Party Votes:","DEM","14833.0","","","","","","","","","",""
"95.0","Arizona","AZ","04","H2AZ04101","","Don","Karg","Karg, Don","","REP","7175.0","1.0","","","18627.0","0.23923401959902904","","","","",""
"96.0","Arizona","AZ","04","","","","","","Party Votes:","REP","7175.0","","","","","","","","","",""
"97.0","Arizona","AZ","04","H6AZ04169","","Ronald","Harders","Harders, Ronald","","W(LBT)/LBT","12.0","1.0","","","2770.0","0.03557621915978475","","","","",""
"98.0","Arizona","AZ","04","","","","","","Party Votes:","LBT","12.0","","","","","","","","","",""
"99.0","Arizona","AZ","04","","","","","","District Votes:","","22020.0","","","","77861.0","","","","","",""
"100.0","Arizona","AZ","05","H6AZ05067","","Harry","Mitchell","Mitchell, Harry","","DEM","20852.0","1.0","","","101838.0","0.5041235582396911","","","","",""
"101.0","Arizona","AZ","05","","","","","","Party Votes:","DEM","20852.0","","","","","","","","","",""
"102.0","Arizona","AZ","05","H4AZ06052","(I)","J.D.","Hayworth","Hayworth, J.D.","","REP","38275.0","1.0","","","93815.0","0.46440770258898073","","","","",""
"103.0","Arizona","AZ","05","","","","","","Party Votes:","REP","38275.0","","","","","","","","","",""
"104.0","Arizona","AZ","05","H2AZ05124","","Warren","Severin","Severin, Warren","","LBT","387.0","1.0","","","6357.0","0.03146873917132815","","","","",""
"105.0","Arizona","AZ","05","","","","","","Party Votes:","LBT","387.0","","","","","","","","","",""
"106.0","Arizona","AZ","05","","","","","","District Votes:","","59514.0","","","","202010.0","","","","","",""
"107.0","Arizona","AZ","06","H0AZ01184","(I)","Jeff","Flake","Flake, Jeff","","REP","43199.0","1.0","","","152201.0","0.7479679191688863","","","","",""
"108.0","Arizona","AZ","06","","","","","","Party Votes:","REP","43199.0","","","","","","","","","",""
"109.0","Arizona","AZ","06","H6AZ06040","","Jason M.","Blair","Blair, Jason M.","","W(LBT)/LBT","19.0","1.0","","","51285.0","0.25203208083111367","","","","",""
"110.0","Arizona","AZ","06","","","","","","Party Votes:","LBT","19.0","","","","","","","","","",""
"111.0","Arizona","AZ","06","","","","","","District Votes:","","43218.0","","","","203486.0","","","","","",""
"112.0","Arizona","AZ","07","H2AZ07070","(I)","Raul","Grijalva","Grijalva, Raul","","DEM","26604.0","1.0","","","80354.0","0.6109408857631629","","","","",""
"113.0","Arizona","AZ","07","","","","","","Party Votes:","DEM","26604.0","","","","","","","","","",""
"114.0","Arizona","AZ","07","H6AZ07014","","Ron","Drake","Drake, Ron","","REP","10022.0","0.60420811478869","","","46498.0","0.3535297471963505","","","","",""
"115.0","Arizona","AZ","07","H4AZ02010","","Joseph","Sweeney","Sweeney, Joseph","","REP","6565.0","0.39579188521131003","","","","","","","","",""
